
2025/07/11 (09:55:47) | ===> btop++ v.1.4.0
2025/07/11 (09:55:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (10:19:31) | ===> btop++ v.1.4.0
2025/07/12 (10:19:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (10:23:49) | ===> btop++ v.1.4.0
2025/07/12 (10:23:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (10:25:45) | ===> btop++ v.1.4.0
2025/07/12 (10:25:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (10:25:50) | ===> btop++ v.1.4.0
2025/07/12 (10:25:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (11:07:20) | ===> btop++ v.1.4.0
2025/07/12 (11:07:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (11:08:00) | ===> btop++ v.1.4.0
2025/07/12 (11:08:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (11:08:01) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (11:08:27) | ===> btop++ v.1.4.0
2025/07/12 (11:08:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (11:15:07) | ===> btop++ v.1.4.0
2025/07/12 (11:15:07) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (11:15:13) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (11:15:15) | ===> btop++ v.1.4.0
2025/07/12 (11:15:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (13:04:28) | ===> btop++ v.1.4.0
2025/07/12 (13:04:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:00:36) | ===> btop++ v.1.4.0
2025/07/12 (17:00:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:06:00) | ===> btop++ v.1.4.0
2025/07/12 (17:06:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:15:20) | ===> btop++ v.1.4.0
2025/07/12 (17:15:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (17:15:30) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (17:15:32) | ===> btop++ v.1.4.0
2025/07/12 (17:15:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:15:36) | ===> btop++ v.1.4.0
2025/07/12 (17:15:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:15:39) | ===> btop++ v.1.4.0
2025/07/12 (17:15:39) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (17:15:43) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (17:15:44) | ===> btop++ v.1.4.0
2025/07/12 (17:15:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:15:47) | ===> btop++ v.1.4.0
2025/07/12 (17:15:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (17:15:50) | ===> btop++ v.1.4.0
2025/07/12 (17:15:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (17:15:53) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (17:15:54) | ===> btop++ v.1.4.0
2025/07/12 (17:15:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (17:15:56) | WARNING: Failed to join _runner thread on exit!

2025/07/12 (17:15:56) | ===> btop++ v.1.4.0
2025/07/12 (17:15:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/07/12 (17:15:59) | WARNING: Failed to join _runner thread on exit!

